City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol
Greater Amman Municipality,2016,8015906, 2.004 ,4000000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Halifax Regional Municipality,2016,5351364, 12.124 ,441400,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Hobsons Bay City Council,2016,1484675, 15.390 ,96470,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Hoeje-Taastrup Kommune,2016,275461, 5.514 ,49960,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Hørsholm Kommune,2016,167808, 6.751 ,24856,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Intendencia de Montevideo,2016,3211715, 2.327 ,1380432,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Iskandar Regional Development Authority,2016,15560000, 8.189 ,1900000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Kaohsiung City Government,2016,36056822, 12.985 ,2776912,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Mahasarakham Municipality,2016,246292, 4.942 ,49841,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Melton City Council,2016,2363195,#DIV/0!,,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Mexico City,2016,32087694, 3.633 ,8833416,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Moroni City,2016,49285, 1.231 ,40050,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Moscow Government,2016,25680678, 2.083 ,12330126,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipalidad de Córdoba,2016,4814594, 3.367 ,1430000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Arendal,2016,167179, 3.746 ,44630,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2016,4393301, 1.748 ,2513451,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Curitiba,2016,3505046, 1.851 ,1893997,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Curitiba,2016,4345663, 2.481 ,1751907,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Recife,2016,2394390, 1.466 ,1633697,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
New Taipei City Government,2016,18235086, 4.574 ,3986689,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
New Taipei City Government,2016,20144995, 5.053 ,3986689,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New York City,2016,51735403, 6.060 ,8537673,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Palmerston North City Council,2016,570666, 6.537 ,87300,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Aracaju,2016,1128628, 1.759 ,641523,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Londrina,2016,1122693, 2.010 ,558439,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura Municipal de São José dos Campos,2016,4246921, 5.949 ,713943,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Región Metropolitana de Santiago,2016,23173131, 2.852 ,8125072,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Región Metropolitana de Santiago,2016,, -   ,7915199,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Stadt Zürich,2016,1374757, 3.248 ,423310,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Suwon City,2016,5736865, 4.618 ,1242212,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Taichung City Government,2016,23195411, 8.307 ,2792164,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Taipei City Government,2016,12391612, 4.618 ,2683257,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
The Hague,2016,1695093, 3.224 ,525745,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
The Local Government of Quezon City,2016,8014366, 2.575 ,3112436,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Tokyo Metropolitan Government,2016,57996872, 4.185 ,13857443,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Town of Blacksburg,2016,334388, 7.504 ,44563,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Village of Kadiovacik,2016,413, 1.894 ,218,2017,Other: GHG Protocols
Ville de Laval,2016,2220901, 5.077 ,437413,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ville de Salaberry-de-Valleyfield,2016,435594, 10.649 ,40905,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Wollongong City Council,2016,3091346, 14.307 ,216071,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Wyndham City Council,2016,3402007, 13.324 ,255322,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ajuntament de Barcelona,2017,2812730, 1.736 ,1620343,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ayuntamiento de Madrid,2017,9738746, 2.982 ,3266126,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Bogotá Distrito Capital,2017,17672009, 2.215 ,7980001,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Aspen,2017,305319, 33.913 ,9003,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Athens,2017,3537650, 5.327 ,664046,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Austin,2017,11524547, 9.392 ,1227000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Boston,2017,6146099, 8.998 ,683015,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2017,18378045, 14.747 ,1246231,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cape Town,2017,21145125, 5.006 ,4223565,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Columbus,2017,10629141, 12.358 ,860090,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Easton, PA",2017,344370, 12.756 ,26996,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Edmonton,2017,15411583, 16.223 ,950000,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Espoo,2017,1143000, 4.096 ,279044,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Eugene,2017,1641401, 9.895 ,165885,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Fort Collins,2017,2043293, 12.199 ,167492,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Goiânia,2017,2016320, 1.549 ,1301892,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Hamilton,2017,8167864, 14.627 ,558397,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Helsinki,2017,2668060, 4.138 ,644700,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Hvidovre,2017,245337, 4.684 ,52380,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Leicester,2017,1486786, 4.205 ,353540,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Melbourne,2017,4678193, 30.945 ,151176,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of New Bedford, MA",2017,480493, 5.051 ,95120,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Portland, OR",2017,7701120, 9.536 ,807555,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Reykjavìk,2017,354641, 2.878 ,123246,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Francisco,2017,5005861, 5.660 ,884363,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Stockholm,2017,1715597, 1.806 ,949761,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Sydney,2017,3677319, 15.308 ,240229,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Vancouver,2017,2698097, 4.273 ,631486,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Wroclaw,2017,4654742, 7.266 ,640600,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Comune di Milano,2017,5266149, 3.750 ,1404431,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Gemeente Groningen,2017,859000, 4.284 ,200500,2017,Other
Gladsaxe Kommune,2017,332767, 4.838 ,68775,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Helsingør Kommune / Elsinore Municipality,2017,216124, 3.448 ,62686,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Hoeje-Taastrup Kommune,2017,252209, 5.019 ,50246,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Iskandar Regional Development Authority,2017,16200490, 7.751 ,2090000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Khon Kaen City,2017,395193, 3.314 ,119265,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Malmö Stad,2017,863749, 2.589 ,333633,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Mornington Peninsula Shire,2017,1858540, 11.554 ,160862,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipio de Iztapa,2017,63925, 5.364 ,11917,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Nagpur,2017,2849470, 1.184 ,2405665,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de São Paulo,2017,16130962, 1.433 ,11253503,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Seoul Metropolitan Government,2017,46685000, 4.663 ,10010983,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Steve Tshwete,2017,3967565, 14.233 ,278749,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Taichung City Government,2017,62173728, 22.174 ,2803894,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Tel Aviv-Yafo Municipality,2017,2635614, 6.006 ,438820,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
The Hague,2017,1552832, 2.881 ,539040,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Tokyo Metropolitan Government,2017,57176147, 4.098 ,13951636,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Town of Wellfleet,2017,20315, 5.804 ,3500,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Town of Wellfleet,2017,, -   ,3500,2018,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ajuntament de Barcelona,2018,2835426, 1.732 ,1636762,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Austin,2018,11998240, 12.443 ,964254,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Berkeley,2018,541975, 4.455 ,121643,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Bloomington,2018,1639657, 19.120 ,85755,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2018,18438546, 14.549 ,1267344,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Columbus,2018,10848255, 12.154 ,892533,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Edmonton,2018,15936756, 16.262 ,980000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Lakewood,2018,1480119, 9.549 ,155000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Minneapolis,2018,4299864, 10.181 ,422331,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Orlando,2018,6994170, 24.956 ,280258,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Port Phillip,2018,1423300, 12.312 ,115601,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Sarasota,2018,668763, 11.942 ,56000,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Sydney,2018,3682686, 14.750 ,249676,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Vancouver,2018,2551251, 3.970 ,642686,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Windsor,2018,2111433, 9.032 ,233763,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Government of Hong Kong Special Administrative Region,2018,38880267, 5.179 ,7507400,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Greater Amman Municipality,2018,10955210, 2.883 ,3800000,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipality of Tópaga,2018,10385660," 2,625.293 ",3956,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New Taipei City Government,2018,19464204, 4.843 ,4018696,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Sofia Municipality,2018,4628030, 3.127 ,1479902,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
The Hague,2018,1519207, 2.778 ,546847,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"Town of Dedham, MA",2018,70700, 2.786 ,25377,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Wellington City Council,2018,953146, 4.530 ,210400,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Beteitiva,2019,3640, 2.469 ,1474,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Calgary,2019,18042522, 14.033 ,1285711,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Charlotte,2019,10437984, 11.785 ,885708,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Corrales,2019,6403, 2.563 ,2498,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Floresta,2019,5822, 1.802 ,3231,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Gámeza,2019,7806, 1.747 ,4468,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Mongua,2019,8888, 1.977 ,4495,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipio de Escuintla,2019,281588, 1.651 ,170543,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipio de San Jose,2019,355166, 6.241 ,56907,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura de Vitória,2015-07-15 - 2017-12-30,2798291, 7.783 ,359555,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
,,,,,,
338,,,,,,
Separate cities,,,,,,
,,,,,,
Government of Hong Kong Special Administrative Region,,,,,,
Most common entry,,,,,,
